제품명,가격,,평균가격,최댓값,최솟값
[노브랜드] 오렌지 소다 탄산 355ml*6,"2,680",,,,
[노브랜드] 식혜 음료 238ml*12,"4,580",,,,
[노브랜드] 사이다 탄산 355ml 6,"2,580",,,,
[노브랜드] 썬블라스트 망고 과일 음료 2000ml (200ml*10입),"2,980",,,,
[노브랜드] 썬블라스트 오렌지 주스2000ml(200ml*10입),"2,980",,,,
[노브랜드] 퓨어 플러스 마일드 워터 복숭아  1.5L,"1,580",,,,
[노브랜드] 퓨어 플러스 파워 에너지 자몽 1.5L,"1,580",,,,
[노브랜드] 퓨어 플러스 파워 에너지 레몬 주스 1.5L,"1,580",,,,
[노브랜드] 퓨어 플러스 파워 레몬향 음료 500ml,980,,,,
[노브랜드] 퓨어 플러스 파워에너지 자몽 음료 500ml,980,,,,
[노브랜드] 퓨어플러스 마일드 워터 복숭아 음료 500ml,980,,,,
[노브랜드] 포도 음료 주스 1.5L,"1,780",,,,
[노브랜드] 사과 주스 1.5L,"1,780",,,,
[노브랜드] 맛 좋은 감자 맛 전분 400g,"1,780",,,,
[노브랜드] 콩가루가 들어있는 들깨 가루 400g,"3,680",,,,
[노브랜드] 볶음 참깨 1kg,"8,680",,,,
[노브랜드] 정성가득 고추장 1kg,"3,680",,,,
[노브랜드] 정성가득 초 고추장 500g,"1,580",,,,
[노브랜드] 정성가득 진 간장 900ml,"1,780",,,,
[노브랜드] 정성가득 양조 간장 900ml,"2,080",,,,
[노브랜드] 정성 가득 된장 1kg,"2,580",,,,
[노브랜드] 정성가득 쌈장 500g,"1,580",,,,
[노브랜드] 고춧 가루 1kg,"11,380",,,,
[노브랜드] 스파게티 면 1kg,"1,980",,,,
[노브랜드] 홈스타일 팬케익 믹스 180g,"1,080",,,,
[노브랜드] 홈스타일 브라우니 믹스 180g,"1,080",,,,
[노브랜드] 홈스타일 머핀 믹스 180g,"1,080",,,,
[노브랜드] 홈스타일 로제 스파게티 소스 400g,"1,980",,,,
[노브랜드] 홈스타일 토마토 스파게티 소스 400g,"1,980",,,,
[노브랜드] 홈스타일 크림 스파게티 소스 400g,"1,980",,,,
[노브랜드] 정성 가득 춘장 200G *2입,"1,580",,,,
[노브랜드] 맛 좋은 치킨 튀김 가루 500g,"2,180",,,,
[노브랜드] 맛 좋은 튀김 가루 1kg,"1,680",,,,
