,매체명,헤드라인,내용요약,뉴스url
65,대전일보,"당진시, 한가위 명절선물 상품전 참가","이번 상품전은 ㈜메쎄E&D가 주최하는 국내 유일의 명절선물 전문 박람회로, 이 자리에는 전국 각지에서 모인 전통식품과 농·축·수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1277472
66,대전일보,"보령시, 하반기 '5070 중년남성 요리교실' 운영","교실은 식단 구성과 건강한 식품선택 요령, 보관법과 혼자서 간단하게 만들 수 있는 밑반찬과 국, 찌개, 간식 등의 조리법과 직접 만든 요리를 서로 나눠 먹으며 맛도 평가하는 등 서로 모르는 아빠들 간 어려움을...",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1277473
67,스포츠조선,"이마트, 동국제약 콜라보 애견 사료·영양제 브랜드 '몰리스케어' 런칭","몰리스케어는 실제 건강기능식품에 사용되는 휴먼그레이드원료를 활용하여 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 나누어 출시한 것이 가장 큰 특징이다. 예를 들어, '조인트 에이드(joint aid)'의 경우...",http://sports.chosun.com/news/ntype.htm?id=201708270100238540017725&servicedate=20170827
68,메트로신문,"""더참치로 하루영양 채우자""","참치는 칼슘, DHA, EPA, 단백질, 오메가6, 비타민 등 인체에 유익한 영양성분이 들어있는 건강식품이다. 또한 참치에는 면역력을 증강시켜준다는 셀레늄도 풍부하게 들어 있다. 참치캔 한 캔이면, 세계보건기구가 발표한...",http://www.metroseoul.co.kr/news/newsview?newscd=2017082700036
69,뉴스웍스,"이마트-동국제약, 반려동물 용품 브랜드 '몰리스 케어' 론칭",몰리스 케어 제품은 건강기능식품에 사용하는 '휴먼그레이드' 원료를 활용해 잇몸ㆍ관절ㆍ면역ㆍ눈ㆍ피부 건강 등 기능별로 나눠 제품을 출시한 것이 특징이다. 이마트는 글로벌 브랜드들이 절대적인 지위를 갖고 있는...,http://www.newsworks.co.kr/news/articleView.html?idxno=135593
70,뉴스타운,"농협홍삼 한삼인, 스틱형 홍삼제품 '홍삼정스틱 라이트' 출시",농협홍삼 한삼인의 홍삼정스틱 ⓒ뉴스타운 홍삼정스틱라이트 하루 한포만으로 진세노사이드 6mg을 섭취할 수 있는 건강기능식품이다. 하루 한번 1포만 섭취해도 홍삼 내 건강기능 핵심 성분인 진세노사이드를 6mg을...,http://www.newstown.co.kr/news/articleView.html?idxno=296201
71,금강일보,"당진시, 한가위 명절선물 상품전 참가","이번 상품전은 ㈜메쎄E&D가 주최하는 국내 유일의 명절선물 전문 박람회로, 이 자리에는 전국 각지에서 모인 전통식품과 농ㆍ축ㆍ수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트...",http://www.ggilbo.com/news/articleView.html?idxno=400177
72,금강일보,"보령시, 하반기 '5070 중년남성 요리교실'운영 호응","교실은 식단 구성과 건강한 식품선택 요령, 보관법과 혼자서 간단하게 만들 수 있는 밑반찬과 국, 찌개, 간식 등의 조리법은 물론, 직접 만든 요리를 서로 나눠 먹으며 맛도 평가하는 등 서로 모르는 아빠들 간...",http://www.ggilbo.com/news/articleView.html?idxno=400173
73,메트로신문,"이마트, 동국제약과 '몰리스 케어' 브랜드 론칭","몰리스 케어는 실제 건강기능식품에 사용되는 휴먼그레이드 원료를 활용해 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 출시한 것이 가장 큰 특징이다. 이마트는 글로벌 브랜드들이 절대적인 지위를 갖고 있는 국내...",http://www.metroseoul.co.kr/news/newsview?newscd=2017082700017
74,한국경제TV,"이마트, 동국제약과 손잡고 애견 식품 13종 선보여","몰리스 케어는 실제 건강기능식품에 사용되는 휴먼그레이드 원료를 활용해 잇몸, 관절과 면역, 눈, 피부 건강 등 기능 별로 나누어 출시한 것이 가장 큰 특징입니다. 예를 들어, '조인트 에이드(joint aid)'의 경우...",http://www.wowtv.co.kr/newscenter/news/view.asp?bcode=T30001000&artid=A201708270041
75,경인일보,"이마트, 28일부터 동국제약 콜라보 브랜드 '몰리스 케어' 13종 출시","몰리스 케어는 실제 건강기능식품에 사용되는휴먼그레이드 원료를 활용하여 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 나눠 출시한 것이 가장 큰 특징이다. 몰리스의 대표 상품인 '몰리스 쉬야응가 냄새잡는/건강한...",http://www.kyeongin.com/main/view.php?key=20170827010008082
76,경향신문,"반려동물 인구 1000만시대, ‘프리미엄’ 펫푸드 앞세우는 국내업체들","몰리스 케어는 실제 건강기능식품에 사용되는 ‘휴먼그레이드’ 원료를 활용해 반려동물의 잇몸과 관절, 면역, 눈, 피부 건강 등 기능 별로 나누어 전용 제품을 출시한 것이 가장 큰 특징이다. 이마트측은...",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201708271658001&code=920100
77,세종포스트,"농협홍삼, 한삼인 관절 건강식품 '관절사랑플러스'","관절?건강을?지킬?수?있다. 특히?일매?포장되어?있어?언제?어디서든?간편하게?건강하고?활기찬?하루를?시작할?수?있다. 농협홍삼?마케팅담당자는""평소?관절을?건강하게?관리하기?위해서는?다리?근육...",http://www.sjpost.co.kr/news/articleView.html?idxno=19581
78,디트뉴스24,"농협홍삼 한삼인, ‘아이홍삼’ 연령별 3단계로 구분","최근 청소년과 어린이의 면역력 관리가 이슈로 떠오르며 홍삼이 주목받고 있는 가운데 농협홍삼 한삼인의 어린이용 건강기능식품인 ‘아이홍삼’이 인기를 끌고 있다. 연령별, 단계별로 구성된 아이홍삼은 평생 건강의...",http://www.dtnews24.com/news/article.html?no=432397
79,경인일보,연극 '집나간 아빠' 특별기획 공연…대학로 해오름소극장,"검증되지 않은 엉터리 건강보조식품을 팔아 하루하루 근근이 살아간다. 그러던 어느 날, 그가 살고 있는 쪽방촌에 노모와 함께 사는 수림이 이사를 온다. 상철은 평범한 가정주부를 꿈꿨던 수림과 좋았던 감정, 나빴던...",http://www.kyeongin.com/main/view.php?key=20170827010008141
80,전북도민일보,"라승용 농촌진흥청장, 전남 특화품목 영농현장 찾아","청년창업농 조합공동체인 '청년농부유통조합 지오쿱'은 30여명의 전남지역 청년농업인이 함께하고 있으며, 최신소비경향에 맞춘 창의적인 상품개발과 건강식품을 통해 주목받고 있다. 농가 방문을 마친 라 청장은...",http://www.domin.co.kr/news/articleView.html?idxno=1165240
81,메트로신문,한샘·디비케이·템퍼등 가구社들이 고양으로 몰려간 까닭은,"듀오백의자와 기능성 책상 뿐만 아니라 안마의자와 리클라이너 체어, 각종 소형 안마기류나 운동기구, 건강식품, 기능성베개 등 각종 헬스케어 제품들을 직접 체험 또는 구매할 수 있다. 매트리스로 잘 알려진 템퍼도...",http://www.metroseoul.co.kr/news/newsview?newscd=2017082700041
82,충북일보,2회 대한민국 국제 관광박람회 성료,특히 청원생명축제에서 인기를 얻었던 누에 건강식품을 소개해 인기를 얻었다. 또 전국적으로 명성을 얻고 있는 대표적인 향토농산물 축제 청원생명축제를 수도권 시민들에게 알렸다. 대통령 별장 청남대는 물론 영화...,http://www.inews365.com/news/article.html?no=505792
83,충남일보,'5070중년남성 요리교실' 호응,"교실은 식단 구성과 건강한 식품선택 요령, 보관법과 혼자서 간단하게 만들 수 있는 밑반찬과 국, 찌개, 간식 등의 조리법은 물론, 직접 만든 요리를 서로 나눠 먹으며 맛도 평가하는 등 서로 모르는 아빠들 간...",http://www.chungnamilbo.com/news/articleView.html?idxno=413648
84,한국농정신문,[농정춘추] 고양이에게 맡겨진 생선,또한?건강기능식품에?관한?법률에?따라?건강기능식품의?기능성에?대한?표시ㆍ광고?심의에?관한?업무를?아예?영업자들이?구성원으로?돼있는?한국건강기능식품협회가?위탁받아?수행할?수?있다. ?실제...,http://www.ikpnews.net/news/articleView.html?idxno=31247
85,이코노믹리뷰,[biz 인사이드] 네슬레는 어떻게 주방 기업에서 벗어 났을까①,"그리고 바로 이 회사가 뒷말 애완 동물 사료, 건강 보조 식품, 생수, 캔디 바를 생산 판매하는 다국적 대기업으로 성장하는 기반이 된 것이다. 전쟁과 노동 네슬레는 비교적 일찍부터 해외로 사업을 확장했다....",http://www.econovill.com/news/articleView.html?idxno=321483
86,데일리팜,"이마트-동국제약, 애견용품 전문 '몰리스 케어' 론칭","몰리스 케어는 실제 건강기능식품에 사용되는 휴먼그레이드 원료를 활용해 잇몸, 관절, 면역, 눈, 피부 건강 등 기능 별로 나누어 출시했다. '조인트 에이드(joint aid)'는 초록잎홍합분말 등을 사용했고, '스킨 뉴트리션...",http://www.dailypharm.com/News/230187
87,충청매일,"""이번 추석 선물은 당진 해나루 농산물로""","(사진) 이번 상품전은 ㈜메쎄E&D가 주최하는 국내 유일의 명절선물 전문 박람회로 이 자리에는 전국 각지에서 모인 전통식품과 농ㆍ축ㆍ수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트...",http://www.ccdn.co.kr/news/articleView.html?idxno=476532
88,충청투데이,제천한방엑스포 미리보기…‘미래천연자원관’,"자연에서 얻어지는 물질인 천연물은 의약품, 화장품, 유기농 식품, 건강기능 식품, 바이오 화학제품, 천연 농약·비료 원료로 쓰인다. 의약계에선 천연물이 다양한 신약 개발의 원천이 될 것으로 기대한다. ‘2017 제천...",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1082093
89,충청투데이,“당진 해나루 농산물로 한가위 선물 준비하세요”,"이 자리에는 전국 각지에서 모인 전통식품과 농·축·수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트 상품기획자, 유통 바이어 등을 상대로 마케팅을 벌였다. 시도 이번 박람회 기간 중...",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1082074
90,충청투데이,"보령시, '5070 중년남성 요리교실'운영 호응","교실은 식단 구성과 건강한 식품선택 요령, 보관법과 혼자서 간단하게 만들 수 있는 밑반찬과 국, 찌개, 간식 등의 조리법은 물론, 직접 만든 요리를 서로 나눠 먹으며 맛도 평가하는 등 서로 모르는 아빠들 간 어려움을...",http://www.cctoday.co.kr/?mod=news&act=articleView&idxno=1082059
91,대전투데이,당진 해나루 농산물 한가위 선물로 으뜸,"이번 상품전은 ㈜메쎄 E&D가 주최하는 국내 유일의 명절 선물 전문 박람회로, 이 자리에는 전국 각지에서 모인 전통식품과 농·축·수산물, 건강식품 관련 기업체 및 단체가 기업체 구매 담당자와 대형 백화점, 마트...",http://www.daejeontoday.com/news/articleView.html?idxno=465174
92,연합뉴스TV,끊이지 않는 먹거리파동…납 꽃게부터 살충제 계란까지,"2년 전, 건강식품으로 선풍적인 인기를 끌던 백수오 관련 제품 상당수에 인체에 유해한 이엽우피소가 섞인 것이 드러나 논란이 됐습니다. 2010년 추석을 떠들석하게 했던 카드뮴 낙지 사건도 대표적입니다. 낙지와 문어...",http://www.yonhapnewstv.co.kr/MYH20170827012200038/?did=1825m
93,MBC강원영동,(R)버릴 것 없는 자색옥수수 개발,◀ＩＮＴ▶최재근/강원도농업기술원 옥수수연구소 세계 3대 식량작물이지만 알곡이외에는 쓸데없는 옥수수가 새로운 건강기능식품과 의약품의 원료소재로 새롭게 주목받고 있습니다. MBC뉴스 박민깁니다. ◀ＥＮＤ▶,https://www.mbceg.co.kr/post/51131
