,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
0,1시00분~2시00분,nsmall,유기농 슈퍼베리 아로니아분말 33통+선물용 쇼핑백 2개+스푼 11개,"159,000원","151,050원",http://hsmoa.com/i?id=8288453&from=web_timeline
1,6시40분~7시40분,hnsmall,닥터슈퍼칸 30캡슐 x 10박스 (10개월분),"165,000원","138,500원",http://hsmoa.com/i?id=8289149&from=web_timeline
2,,hnsmall,닥터슈퍼칸 30캡슐 x 10박스 (10개월분),,"138,500원",http://hsmoa.com/i?id=8289150&from=web_timeline
3,6시50분~7시50분,gsshop,[팔레오] 비타민나무 열매 15통+1통 더(청정 티벳산),"159,000원","158,000원",http://hsmoa.com/i?id=8288797&from=web_timeline
4,6시55분~7시50분,cjmall,[특집]독하게하자 풋사과 다이어트 시크릿 12주,"134,300원","119,870원",http://hsmoa.com/i?id=8288983&from=web_timeline
5,,cjmall,[핫이슈]독하게하자 풋사과 다이어트 시크릿 4주,,"128,000원",http://hsmoa.com/i?id=8288984&from=web_timeline
6,,cjmall,팔레오 비타민나무열매파우더15통,,"158,000원",http://hsmoa.com/i?id=8288985&from=web_timeline
7,,cjmall,[100억마리 여에스더유산균]프로바이오틱스 6병[12개월분],,"204,300원",http://hsmoa.com/i?id=8288986&from=web_timeline
8,,cjmall,[100억마리 여에스더유산균]프로바이오틱스 4병[8개월분],,"150,000원",http://hsmoa.com/i?id=8288987&from=web_timeline
9,,cjmall,[비비고 20봉] 왕교자6+김치왕교자4+군만두1+왕만두2+빠오즈7,,"39,900원",http://hsmoa.com/i?id=8288988&from=web_timeline
10,,cjmall,왕교자8+김치왕교자2+왕만두1+고추깻잎1+ 군만두1 + 왕빠오즈7,,"39,900원",http://hsmoa.com/i?id=8288989&from=web_timeline
11,,cjmall,CJ제일제당 맛밤 32봉,,"36,810원",http://hsmoa.com/i?id=8288990&from=web_timeline
12,7시21분~8시21분,gsmyshop,[카스]개인용 저주파자극기(저주파패드+부항기세트),,"59,800원",http://hsmoa.com/i?id=8289271&from=web_timeline
13,7시40분~8시40분,hnsmall,유기농 슈퍼베리 아로니아 세트 (아로니아 33통 + 쇼핑백2장),"159,000원","143,100원",http://hsmoa.com/i?id=8288817&from=web_timeline
14,,hnsmall,유기농 슈퍼베리 아로니아 세트 (아로니아 33통 + 쇼핑백2장),,"143,100원",http://hsmoa.com/i?id=8288818&from=web_timeline
15,7시45분~8시45분,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분),"168,000원","150,300원",http://hsmoa.com/i?id=8288873&from=web_timeline
16,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트 (800mg*56정*3박스 총 12주분 + 깔라만시클렌즈 1박스),,"177,300원",http://hsmoa.com/i?id=8288874&from=web_timeline
17,,hmall,일명 김지선 다이어트 휴럼 황후의 보이차 다이어트(800mg*56정 총 4주분),,"139,000원",http://hsmoa.com/i?id=8288875&from=web_timeline
18,,cjmall,e차홍파우더]차홍뿌리볼륨파우더전고객7통+브러쉬+정품헤어캡2회,,"69,900원",http://hsmoa.com/i?id=8288999&from=web_timeline
19,15시00분~16시15분,gsshop,[오트리] 블랙에디션 고메넛츠 100봉,"89,900원","88,900원",http://hsmoa.com/i?id=8288800&from=web_timeline
20,19시29분~20시29분,gsmyshop,[넛츠피아]세븐믹스 오메가넛츠 108+2봉 추가증정,"89,900원","88,900원",http://hsmoa.com/i?id=8288706&from=web_timeline
21,21시15분~21시55분,hnsmall,놀부부대찌개,"41,900원","37,710원",http://hsmoa.com/i?id=8288840&from=web_timeline
22,21시55분~22시35분,hnsmall,[역대최다 62장] 이현우의 일품 떡갈비,"59,900원","53,910원",http://hsmoa.com/i?id=8288841&from=web_timeline
23,22시35분~23시35분,hnsmall,[마추피추푸드]테오브로마 카카오닙스 7통+휴대용용기 2개+보틀1개+보틀케이스1개,"109,000원","98,100원",http://hsmoa.com/i?id=8288842&from=web_timeline
24,,hnsmall,[마추피추푸드]테오브로마 카카오닙스 14통+휴대용용기 4개+보틀 2개+보틀케이스 2개,,"178,200원",http://hsmoa.com/i?id=8288845&from=web_timeline
25,,hnsmall,[마추피추푸드]테오브로마 카카오닙스 7통+휴대용용기 2개+보틀 1개+보틀케이스 1개,,"98,100원",http://hsmoa.com/i?id=8288843&from=web_timeline
26,,hnsmall,[마추피추푸드]테오브로마 카카오닙스 270gX3통,,"71,100원",http://hsmoa.com/i?id=8288846&from=web_timeline
27,,hnsmall,[마추피추푸드]테오브로마 카카오닙스 14통+휴대용용기 4개+보틀 2개+보틀케이스 2개,,"178,200원",http://hsmoa.com/i?id=8288844&from=web_timeline
28,2시56분~3시16분,gsmyshop,비타민하우스 ★판매 1위★ 온 가족 멀티비타민웰플러스 츄어블 멀티비타민 20개월분 (10병),"49,900원","48,900원",http://hsmoa.com/i?id=8288363&from=web_timeline
29,6시00분~7시20분,cjmall,[일동제약]비오비천 프리미엄 100억프로바이오틱스 16개월분 8병,"138,000원","137,000원",http://hsmoa.com/i?id=8288691&from=web_timeline
30,,cjmall,[일동제약]비오비천 프리미엄 프로바이오틱스 6개월분 3병,,"77,380원",http://hsmoa.com/i?id=8288694&from=web_timeline
31,,cjmall,[일동제약]비오비천 프리미엄 프로바이오틱스 8개월분4병,,"98,000원",http://hsmoa.com/i?id=8288695&from=web_timeline
32,,cjmall,[모링가]황성주 닥터모링가  8통,,"177,000원",http://hsmoa.com/i?id=8288697&from=web_timeline
33,,cjmall,[모링가]황성주 닥터모링가 1통,,"25,000원",http://hsmoa.com/i?id=8288705&from=web_timeline
34,,cjmall,[매그넘]매그넘 아이스크림 36개+비엔네타 딸기 아이스크림1개,,"38,510원",http://hsmoa.com/i?id=8288710&from=web_timeline
35,6시00분~7시20분,nsmall,NS단독! 눈영양제 루테인지아잔틴 총 10개월분,,"131,100원",http://hsmoa.com/i?id=8288443&from=web_timeline
36,6시25분~7시25분,hnsmall,정관장 홍삼진건 7박스(210포),"345,000원","310,500원",http://hsmoa.com/i?id=8288488&from=web_timeline
37,,hnsmall,정관장 홍삼진건 1박스(30포),,"62,100원",http://hsmoa.com/i?id=8288489&from=web_timeline
38,,hnsmall,[특집] 정관장 홍삼진건 7박스(210포),,"310,500원",http://hsmoa.com/i?id=8288491&from=web_timeline
39,,hnsmall,정관장 홍삼진건 4박스(120포),,"196,200원",http://hsmoa.com/i?id=8288490&from=web_timeline
40,7시20분~8시20분,nsmall,피에스타 안데스 브라질너트 100gX16봉,"159,000원","158,000원",http://hsmoa.com/i?id=8288444&from=web_timeline
