,판매시간,홈쇼핑채널,제품명,소비자가,판매가,url
0,1시00분~2시00분,nsmall,혈관팔팔 피부팔팔 총 3박스/3개월분,"158,400원","148,400원",http://hsmoa.com/i?id=8285914&from=web_timeline
1,1시25분~2시25분,immall,우리바다 자연산 손질 통낙지 1.5kg,"59,900원","58,900원",http://hsmoa.com/i?id=8285221&from=web_timeline
2,2시25분~3시25분,immall,수퍼루테인 아이포뮬라(30캡슐*13병/13개월),"59,900원","58,900원",http://hsmoa.com/i?id=8285222&from=web_timeline
3,2시56분~3시16분,gsmyshop,비타민하우스 ★판매 1위★ 온 가족 멀티비타민웰플러스 츄어블 멀티비타민 20개월분 (10병),"49,900원","48,900원",http://hsmoa.com/i?id=8285310&from=web_timeline
4,3시25분~4시25분,immall,[다담은]국내산 손질문어 180g*10팩,"56,900원","55,900원",http://hsmoa.com/i?id=8285223&from=web_timeline
5,4시25분~5시25분,immall,김호윤쉐프의 풍미가득 함박스테이크 25팩,"49,900원","48,900원",http://hsmoa.com/i?id=8285224&from=web_timeline
6,5시30분~6시00분,gsshop,[쿠키아] 뚜부과자 총 13봉(오곡8봉+뚜부3봉+갓뚜부2봉),,"29,900원",http://hsmoa.com/i?id=8286826&from=web_timeline
7,5시55분~7시15분,hmall,[미리주문]슬림엣지 애프터슬림(풋사과다이어트),"158,000원","133,200원",http://hsmoa.com/i?id=8285334&from=web_timeline
8,,hmall,슬림엣지 애프터슬림(풋사과다이어트),,"148,000원",http://hsmoa.com/i?id=8285335&from=web_timeline
9,,hmall,[단품]애프터슬림 풋사과 다이어트,,"128,000원",http://hsmoa.com/i?id=8285336&from=web_timeline
10,6시10분~7시10분,hnsmall,퓨어 아사이베리 14팩(총420g),"153,000원","137,700원",http://hsmoa.com/i?id=8285235&from=web_timeline
11,,hnsmall,퓨어 아사이베리 14팩(총420g),,"137,700원",http://hsmoa.com/i?id=8285414&from=web_timeline
12,,hnsmall,퓨어 아사이베리 4팩(총120g),,"49,410원",http://hsmoa.com/i?id=8285236&from=web_timeline
13,6시15분~7시15분,immall,백수오궁 5개월[식품의약품안전처 검사명령제 원료확인],"279,000원","278,000원",http://hsmoa.com/i?id=8285227&from=web_timeline
14,7시15분~8시15분,immall,리프리놀 3박스,"168,000원","167,000원",http://hsmoa.com/i?id=8285228&from=web_timeline
15,9시20분~10시25분,nsmall,이안愛 아마존 브라질너트 1+1,"159,000원","158,000원",http://hsmoa.com/i?id=8285915&from=web_timeline
16,,nsmall,이안愛 아마존 브라질너트,,"89,000원",http://hsmoa.com/i?id=8285916&from=web_timeline
17,10시25분~11시35분,nsmall,"(무이자)정관장 홍삼정 마일드 센스(5+1,쇼6)","365,000원","364,000원",http://hsmoa.com/i?id=8285917&from=web_timeline
18,,nsmall,"(일시불)정관장 홍삼정 마일드 센스(5+1,쇼6)",,"354,000원",http://hsmoa.com/i?id=8285918&from=web_timeline
19,10시30분~11시30분,hnsmall,하와이안 스피루리나 GOLD 11박스 (총 11개월분),"149,000원","134,100원",http://hsmoa.com/i?id=8285257&from=web_timeline
20,,hnsmall,하와이안 스피루리나 분말 3박스(1.1gX30포X3박스),,"53,910원",http://hsmoa.com/i?id=8285261&from=web_timeline
21,,hnsmall,하와이안 스피루리나 GOLD 11박스 (총 11개월분),,"134,100원",http://hsmoa.com/i?id=8285259&from=web_timeline
22,11시45분~12시05분,gsmyshop,[골든가든] 다모인 맥주효모 150g *4통,"59,900원","58,900원",http://hsmoa.com/i?id=8285321&from=web_timeline
23,12시46분~13시06분,gsmyshop,네이처셀 영양 반딧불이 국산 100% 만들어 먹는 고로쇠 고추장,,"40,900원",http://hsmoa.com/i?id=8285323&from=web_timeline
24,13시40분~14시40분,immall,[해칠초]해초샐러드 7g*40봉,"49,900원","48,900원",http://hsmoa.com/i?id=8285230&from=web_timeline
25,13시40분~14시40분,nsmall,(일시불)아이세이프 루테인 총 10박스/10개월분+비타민D 2병/4개월분+쇼핑백 1장,"138,000원","137,000원",http://hsmoa.com/i?id=8285920&from=web_timeline
26,,nsmall,(무이자)아이세이프 루테인 총 10박스/10개월분+비타민D 2병/4개월분+쇼핑백 1장,,"147,000원",http://hsmoa.com/i?id=8285921&from=web_timeline
27,15시20분~15시50분,hnsmall,[뉴욕직수입] 주니어스 치즈케이크 6인치 오리지널 2개 SET,"69,900원","62,910원",http://hsmoa.com/i?id=8285277&from=web_timeline
28,,hnsmall,[뉴욕직수입] 주니어스 치즈케이크 6인치 오리지널 홀케익 (680g),,"39,510원",http://hsmoa.com/i?id=8285280&from=web_timeline
29,,hnsmall,[뉴욕직수입] 주니어스 치즈케이크 6인치 오리지널 2개 SET,,"62,910원",http://hsmoa.com/i?id=8285282&from=web_timeline
30,15시46분~16시06분,gsmyshop,"[경북 예천] 청결 고추가루 500g * 6봉, 총 3kg",,"69,900원",http://hsmoa.com/i?id=8285329&from=web_timeline
31,15시50분~16시30분,hnsmall,[특집] 고래사 어우동 세트(어우동 6+어짬뽕 3),"42,900원","38,610원",http://hsmoa.com/i?id=8286765&from=web_timeline
32,,hnsmall,[특집] 고래사 어우동 9봉,,"38,610원",http://hsmoa.com/i?id=8286767&from=web_timeline
33,,hnsmall,[특집] 고래사 어짬뽕 9봉,,"38,610원",http://hsmoa.com/i?id=8286766&from=web_timeline
34,16시40분~17시40분,gsshop,올반 두툼 떡갈비 1팩 더[신세계푸드] 올반 1+ 명품 한우불고기 10팩,"89,900원","88,900원",http://hsmoa.com/i?id=8285377&from=web_timeline
35,,gsshop,[신세계푸드] 올반 짬뽕만두+고기만두 총 15팩 세트,,"39,900원",http://hsmoa.com/i?id=8285378&from=web_timeline
36,16시50분~17시40분,hmall,(직)[천하일미] 홍석천 이원일의 떡갈비 콤보(매콤 떡갈비 30장+전통 떡갈비 30장),,"59,900원",http://hsmoa.com/i?id=8285354&from=web_timeline
37,,hmall,(직)[천하일미] 홍석천 이원일의 소불고기 콤보(매콤 7팩+전통 7팩+전골육수 6팩),,"59,900원",http://hsmoa.com/i?id=8285355&from=web_timeline
38,17시13분~17시50분,hnsmall,알렉스 튀겨나온 돈까스 22봉 + 소스 22봉 + 치즈 2봉,"50,900원","45,810원",http://hsmoa.com/i?id=8286039&from=web_timeline
39,18시35분~19시40분,nsmall,(일시불)울트라플로라 프로바이오틱스 블루 6병,,"207,000원",http://hsmoa.com/i?id=8285922&from=web_timeline
40,,nsmall,(무이자)울트라플로라 프로바이오틱스 블루 6병,,"227,000원",http://hsmoa.com/i?id=8285923&from=web_timeline
